Visit_Id,Person_Id,Place_Id,Entry_Time,Exit_Time
88,491,33,2022-11-19T23:10:09,2022-11-20T07:58:56
89,1159,50,2022-11-14T23:51:05,2022-11-15T15:57:15
90,349,51,2022-11-22T08:48:14,2022-11-23T01:10:17
91,76,99,2022-11-26T11:56:37,2022-11-27T06:05:05
92,1270,88,2022-11-07T14:15:04,2022-11-08T09:33:59
93,405,31,2022-11-23T02:28:56,2022-11-23T07:37:32
94,1047,6,2022-11-18T05:54:55,2022-11-18T10:00:02
95,1304,37,2022-11-10T06:33:44,2022-11-10T22:59:12
96,450,16,2022-11-27T14:00:05,2022-11-28T13:16:34
97,1400,81,2022-11-19T23:12:28,2022-11-20T20:07:37
98,432,56,2022-11-23T18:10:23,2022-11-23T23:16:16
99,1163,29,2022-11-15T21:22:35,2022-11-15T22:13:27
100,1145,90,2022-10-30T22:45:08,2022-10-31T00:20:43
101,635,96,2022-11-13T09:05:31,2022-11-13T23:01:44
102,568,82,2022-11-26T21:01:51,2022-11-27T19:17:59
103,1297,1,2022-11-18T09:03:09,2022-11-18T23:41:59
104,869,93,2022-11-20T09:15:56,2022-11-21T03:40:01
105,531,79,2022-11-24T06:56:13,2022-11-25T04:40:37
106,764,36,2022-11-17T09:39:59,2022-11-18T05:14:53
107,1388,40,2022-11-16T15:14:48,2022-11-17T12:04:22
108,255,92,2022-11-23T14:10:45,2022-11-23T18:31:03
109,888,59,2022-11-21T13:53:22,2022-11-22T07:29:47
110,1458,2,2022-11-20T11:06:29,2022-11-20T12:00:49
111,384,90,2022-11-24T08:49:25,2022-11-25T05:52:41
112,399,21,2022-10-30T12:37:00,2022-10-31T03:48:36
113,1242,5,2022-11-24T15:57:20,2022-11-25T15:48:20
114,1281,56,2022-11-22T06:52:57,2022-11-22T22:36:41
115,793,88,2022-11-21T13:05:38,2022-11-22T00:36:27
116,523,91,2022-11-17T14:10:48,2022-11-18T11:21:56
117,760,21,2022-11-02T16:08:13,2022-11-03T08:43:30
118,1053,54,2022-11-23T19:24:19,2022-11-24T06:16:05
119,791,63,2022-11-15T18:46:54,2022-11-15T19:02:26
120,964,71,2022-11-02T20:32:35,2022-11-02T22:51:08
121,1061,98,2022-11-14T03:54:48,2022-11-14T20:21:15
122,154,71,2022-11-12T21:19:58,2022-11-13T00:58:52
123,43,73,2022-11-14T05:26:58,2022-11-14T11:04:09
124,1152,73,2022-11-01T18:51:52,2022-11-02T14:55:30
125,187,61,2022-11-10T15:47:03,2022-11-10T23:43:29
126,1221,6,2022-11-24T05:05:32,2022-11-25T00:33:46
127,912,71,2022-11-26T20:05:19,2022-11-27T06:58:49
128,271,36,2022-11-15T03:14:22,2022-11-15T16:46:02
129,1186,75,2022-11-16T10:35:38,2022-11-16T18:07:35
130,213,74,2022-11-26T03:48:32,2022-11-27T02:12:51
131,1383,6,2022-11-16T03:36:19,2022-11-16T06:36:22
132,550,84,2022-11-22T22:24:36,2022-11-23T14:36:42
133,71,97,2022-11-10T09:21:11,2022-11-11T03:13:53
134,1315,0,2022-11-16T04:51:08,2022-11-16T13:27:09
135,214,14,2022-11-19T21:54:44,2022-11-20T13:58:48
136,179,15,2022-11-07T17:56:55,2022-11-08T14:59:14
137,504,31,2022-11-26T19:16:58,2022-11-27T16:02:21
138,708,20,2022-11-18T15:12:53,2022-11-18T22:43:39
139,1142,50,2022-11-17T04:20:56,2022-11-17T19:05:00
140,1072,43,2022-10-30T15:08:22,2022-10-31T10:19:13
141,288,81,2022-11-16T11:47:26,2022-11-16T23:59:26
142,1207,64,2022-11-18T15:56:54,2022-11-18T18:20:57
143,906,90,2022-10-30T18:08:55,2022-10-31T08:59:10
144,1019,66,2022-11-05T10:46:17,2022-11-05T13:10:42
145,123,34,2022-11-18T14:06:23,2022-11-19T09:41:22
146,518,45,2022-11-10T04:52:11,2022-11-10T23:21:46
147,1206,22,2022-11-20T01:40:10,2022-11-20T12:08:43
148,12,51,2022-11-24T12:03:52,2022-11-25T10:50:13
149,73,67,2022-11-03T20:17:27,2022-11-04T09:30:33
150,985,44,2022-11-22T20:45:40,2022-11-23T15:47:04
151,626,24,2022-11-09T21:06:37,2022-11-10T05:50:00
152,1291,3,2022-11-24T14:56:45,2022-11-25T08:00:02
153,568,32,2022-11-23T09:20:14,2022-11-24T03:56:16
154,528,68,2022-11-05T00:16:45,2022-11-05T04:08:04
155,935,23,2022-11-14T09:25:47,2022-11-14T15:37:43
156,1447,40,2022-10-31T03:53:56,2022-11-01T00:24:30
157,1338,88,2022-11-25T04:05:10,2022-11-25T17:52:00
158,1144,20,2022-11-22T20:47:38,2022-11-23T11:28:42
159,1211,1,2022-11-22T16:11:03,2022-11-23T11:37:06
160,991,62,2022-11-02T13:35:44,2022-11-03T03:41:57
161,607,73,2022-11-10T14:40:10,2022-11-11T14:05:44
162,1167,12,2022-11-22T00:22:32,2022-11-22T15:12:21
163,474,73,2022-10-31T11:00:35,2022-10-31T18:24:57
164,787,69,2022-11-02T10:32:30,2022-11-02T22:18:52
165,499,64,2022-11-08T04:12:21,2022-11-08T09:10:46
166,443,59,2022-11-14T20:08:53,2022-11-15T10:33:34
167,946,68,2022-11-17T17:27:31,2022-11-18T13:18:38
168,1320,26,2022-11-09T06:56:42,2022-11-09T18:21:58
169,112,88,2022-11-18T20:27:45,2022-11-19T19:18:55
170,910,56,2022-11-14T16:13:37,2022-11-15T01:26:13
171,166,63,2022-11-17T15:55:02,2022-11-18T00:49:45
172,1006,99,2022-11-20T09:01:40,2022-11-21T02:17:01
173,1149,4,2022-10-29T19:12:20,2022-10-30T03:18:48
174,334,100,2022-11-15T18:27:51,2022-11-16T00:16:37
175,1421,99,2022-11-17T20:19:05,2022-11-18T02:41:51
176,1371,11,2022-11-16T08:00:22,2022-11-17T03:43:22
177,1280,80,2022-11-06T14:57:17,2022-11-07T13:46:27
178,234,11,2022-11-26T07:12:46,2022-11-26T07:50:55
179,201,29,2022-10-29T19:22:04,2022-10-30T13:39:04
180,317,84,2022-10-29T11:56:50,2022-10-29T20:35:54
181,261,37,2022-11-08T00:51:50,2022-11-08T08:26:15
182,401,11,2022-11-22T01:20:09,2022-11-22T19:33:06
183,1353,88,2022-11-02T07:00:32,2022-11-02T21:45:26
184,1335,21,2022-11-27T02:43:54,2022-11-27T06:15:38
185,75,94,2022-10-28T21:26:37,2022-10-29T19:14:47
186,688,48,2022-11-02T12:40:23,2022-11-03T07:20:44
187,451,78,2022-11-25T20:50:01,2022-11-26T00:52:15
188,625,41,2022-11-19T20:19:59,2022-11-20T19:44:05
189,191,58,2022-11-09T19:50:50,2022-11-10T19:00:48
190,1202,22,2022-11-23T12:11:22,2022-11-24T11:42:26
191,893,64,2022-11-16T17:10:14,2022-11-17T00:33:08
192,816,55,2022-11-09T06:38:17,2022-11-09T15:35:11
193,1334,56,2022-11-17T23:26:10,2022-11-18T00:39:24
194,1324,74,2022-11-04T11:01:14,2022-11-05T10:02:27
195,167,37,2022-11-19T17:33:35,2022-11-20T05:14:56
196,390,46,2022-11-12T07:01:15,2022-11-13T04:22:34
197,128,21,2022-11-11T13:20:45,2022-11-12T03:48:43
198,705,35,2022-11-06T05:38:01,2022-11-07T02:43:33
199,1270,70,2022-11-08T07:20:18,2022-11-09T05:44:12
200,320,36,2022-11-07T13:53:50,2022-11-08T07:49:04
201,1481,16,2022-10-31T05:46:07,2022-10-31T16:12:39
202,137,33,2022-11-22T22:19:35,2022-11-23T15:31:49
203,577,12,2022-11-09T09:03:07,2022-11-09T09:47:34
204,86,45,2022-11-23T14:28:18,2022-11-23T20:38:54
205,729,29,2022-11-01T14:40:33,2022-11-02T02:33:15
206,280,42,2022-11-13T22:16:38,2022-11-14T01:22:25
207,1306,84,2022-11-24T15:24:51,2022-11-25T11:46:26
208,700,14,2022-11-23T18:53:49,2022-11-24T01:52:09
209,1267,101,2022-11-01T03:41:35,2022-11-01T03:41:35
210,1281,9,2022-11-23T10:22:18,2022-11-23T23:27:18
211,20,71,2022-11-22T00:31:48,2022-11-22T18:14:16
212,99,67,2022-11-08T19:04:07,2022-11-08T23:25:06
213,182,71,2022-11-24T12:51:07,2022-11-24T23:46:00
214,1428,12,2022-11-24T01:01:00,2022-11-24T07:32:16
215,1308,10,2022-11-17T18:06:15,2022-11-18T16:57:20
216,613,34,2022-11-26T02:16:09,2022-11-27T00:28:27
217,611,18,2022-11-21T03:56:04,2022-11-22T02:31:50
218,577,56,2022-10-30T04:10:09,2022-10-30T11:41:53
219,488,73,2022-11-05T17:21:06,2022-11-05T23:37:38
220,978,27,2022-11-20T05:52:49,2022-11-20T10:30:05
221,687,70,2022-11-22T06:07:42,2022-11-22T18:26:59
222,105,53,2022-10-30T08:47:27,2022-10-30T17:07:17
223,546,3,2022-11-11T21:19:43,2022-11-12T12:18:56
224,396,69,2022-11-23T13:23:18,2022-11-24T05:47:13
225,566,95,2022-11-01T21:42:56,2022-11-02T09:12:39
226,695,5,2022-11-24T18:57:09,2022-11-25T13:33:40
227,966,17,2022-11-02T22:24:20,2022-11-03T00:05:08
228,801,33,2022-11-14T01:53:31,2022-11-14T16:37:08
229,1378,64,2022-10-31T21:30:27,2022-11-01T18:08:47
230,921,68,2022-11-21T11:48:20,2022-11-21T13:50:04
231,666,24,2022-11-03T11:35:50,2022-11-03T13:32:09
232,594,15,2022-11-19T01:20:19,2022-11-19T17:24:31
233,383,90,2022-11-27T05:45:03,2022-11-27T13:39:09
234,254,20,2022-11-08T04:38:11,2022-11-08T23:15:42
235,658,13,2022-11-03T12:28:18,2022-11-04T10:52:44
236,1174,60,2022-11-08T07:42:24,2022-11-08T21:57:07
237,208,52,2022-11-08T16:13:07,2022-11-09T04:00:39
238,118,78,2022-10-29T16:13:41,2022-10-29T16:13:59
239,679,15,2022-11-06T20:21:18,2022-11-07T11:56:00
240,326,65,2022-11-10T06:20:52,2022-11-10T22:40:43
241,1355,0,2022-11-11T15:12:32,2022-11-12T02:07:11
242,405,13,2022-11-23T01:44:33,2022-11-23T17:05:42
243,77,57,2022-11-08T17:33:05,2022-11-09T03:51:11
244,1026,76,2022-11-13T07:42:57,2022-11-14T04:07:57
245,579,91,2022-11-27T09:09:56,2022-11-27T15:28:03
246,1487,66,2022-11-07T14:20:48,2022-11-08T14:20:33
247,762,49,2022-11-11T01:17:49,2022-11-11T18:37:37
248,582,71,2022-11-15T03:41:33,2022-11-15T19:04:40
249,537,45,2022-11-16T08:38:41,2022-11-17T06:16:27
250,1419,6,2022-11-09T12:47:48,2022-11-09T23:36:24
251,39,54,2022-11-22T15:09:59,2022-11-22T23:21:02
252,1251,27,2022-10-28T22:44:13,2022-10-29T08:31:13
253,470,56,2022-10-31T22:20:30,2022-11-01T05:03:20
254,1461,53,2022-11-11T12:12:11,2022-11-11T20:12:52
255,108,93,2022-11-04T12:39:02,2022-11-04T21:58:22
256,393,19,2022-11-25T12:04:14,2022-11-25T18:35:13
257,499,1,2022-10-29T00:53:55,2022-10-29T19:57:34
258,28,27,2022-11-07T09:11:36,2022-11-07T14:07:04
259,343,21,2022-11-14T11:37:31,2022-11-14T13:41:25
260,1428,56,2022-11-01T01:07:15,2022-11-01T21:36:07
261,1333,2,2022-11-05T12:12:50,2022-11-06T08:03:04
262,1000,36,2022-11-17T06:41:27,2022-11-17T06:45:19
263,982,41,2022-11-11T20:25:39,2022-11-12T20:21:56
264,178,90,2022-11-10T22:26:31,2022-11-11T13:50:33
265,303,31,2022-11-18T23:57:58,2022-11-19T19:18:45
266,107,84,2022-11-23T13:31:48,2022-11-23T14:56:48
267,1086,76,2022-11-10T14:15:37,2022-11-11T03:18:45
268,1039,80,2022-11-09T16:19:40,2022-11-10T14:21:55
269,1183,27,2022-10-31T19:04:41,2022-11-01T01:27:51
270,1434,93,2022-11-20T20:07:28,2022-11-21T19:10:39
271,1111,73,2022-11-13T06:38:38,2022-11-13T10:29:54
272,920,95,2022-11-08T23:20:26,2022-11-09T11:56:02
273,143,39,2022-11-18T23:50:06,2022-11-19T15:47:27
274,390,86,2022-11-26T05:24:33,2022-11-26T08:40:18
275,981,14,2022-11-16T02:37:55,2022-11-17T00:40:38
276,776,69,2022-11-24T14:58:17,2022-11-25T00:28:56
277,1200,51,2022-11-01T18:22:42,2022-11-02T08:59:59
278,656,5,2022-11-03T12:16:28,2022-11-04T05:24:34
279,760,67,2022-11-01T10:30:37,2022-11-02T09:10:30
280,84,29,2022-11-19T14:39:06,2022-11-20T07:41:22
281,1209,75,2022-11-26T17:17:30,2022-11-27T05:43:04
282,1356,34,2022-11-26T22:42:34,2022-11-27T13:46:39
283,1164,48,2022-11-01T06:42:07,2022-11-01T19:00:49
284,1284,32,2022-11-04T15:20:01,2022-11-05T08:09:16
285,444,90,2022-11-25T13:59:59,2022-11-26T06:34:47
286,892,16,2022-11-18T17:52:30,2022-11-18T21:48:52
287,122,1,2022-11-18T18:35:20,2022-11-19T00:46:02
288,1174,19,2022-11-07T21:51:39,2022-11-08T14:17:17
289,610,26,2022-11-04T16:41:49,2022-11-04T21:55:50
290,339,85,2022-11-17T14:19:33,2022-11-17T18:01:48
291,290,78,2022-11-18T15:58:38,2022-11-19T05:00:32
292,396,11,2022-11-24T00:20:44,2022-11-24T14:27:24
293,648,74,2022-11-13T01:31:38,2022-11-13T05:01:09
294,1329,68,2022-11-21T17:35:51,2022-11-22T12:33:28
295,535,76,2022-11-16T03:55:14,2022-11-16T20:24:44
296,1441,7,2022-11-09T02:46:13,2022-11-09T11:02:49
297,276,14,2022-11-01T22:43:46,2022-11-02T19:07:51
298,1155,92,2022-11-26T08:22:45,2022-11-26T22:55:20
299,1184,63,2022-11-22T19:37:10,2022-11-23T04:32:18
300,324,93,2022-11-21T21:02:19,2022-11-22T17:01:39
301,552,7,2022-11-01T05:28:25,2022-11-01T20:26:59
302,1047,74,2022-11-15T10:29:34,2022-11-15T22:58:05
303,1395,100,2022-11-07T06:07:12,2022-11-07T13:02:43
304,1184,75,2022-11-09T18:41:02,2022-11-10T10:13:35
305,785,55,2022-11-22T01:05:54,2022-11-22T02:31:49
306,295,59,2022-11-03T07:53:30,2022-11-04T06:32:15
307,994,92,2022-11-10T21:31:29,2022-11-11T16:31:19
308,261,86,2022-11-21T18:27:53,2022-11-22T15:56:52
309,190,25,2022-11-01T10:28:37,2022-11-02T09:05:01
310,844,94,2022-11-13T11:54:16,2022-11-14T09:14:09
311,1198,45,2022-11-12T00:26:25,2022-11-12T02:21:21
312,773,65,2022-11-02T10:03:38,2022-11-02T18:41:36
313,1078,100,2022-11-11T23:13:28,2022-11-11T23:22:57
314,831,19,2022-11-26T09:56:08,2022-11-27T02:10:10
315,344,29,2022-11-02T18:22:27,2022-11-03T00:00:24
316,771,21,2022-10-29T00:05:05,2022-10-29T20:39:13
317,182,48,2022-11-19T14:28:00,2022-11-19T16:54:50
318,427,59,2022-11-25T12:50:55,2022-11-25T20:47:37
319,1403,10,2022-11-04T23:48:22,2022-11-05T05:46:09
320,625,90,2022-11-11T04:38:20,2022-11-11T12:17:29
321,232,62,2022-11-26T06:53:28,2022-11-26T06:59:58
322,315,1,2022-11-14T16:14:45,2022-11-15T16:02:53
323,1253,68,2022-11-12T00:38:55,2022-11-12T01:34:04
324,274,58,2022-11-05T06:37:28,2022-11-05T10:43:20
325,1386,4,2022-11-24T23:47:49,2022-11-25T08:56:34
326,490,85,2022-11-10T08:51:49,2022-11-11T01:43:15
327,1471,57,2022-11-13T17:48:53,2022-11-14T01:32:21
328,9,66,2022-11-02T02:01:39,2022-11-02T22:45:34
329,552,20,2022-11-04T04:51:45,2022-11-04T08:50:23
330,312,70,2022-11-26T23:18:20,2022-11-27T17:30:31
331,469,29,2022-11-21T12:37:00,2022-11-21T16:07:05
332,1400,43,2022-11-08T01:24:07,2022-11-09T01:22:58
333,293,34,2022-11-09T02:21:03,2022-11-10T00:31:59
334,332,101,2022-11-02T14:19:40,2022-11-02T23:30:58
335,30,83,2022-11-01T00:42:25,2022-11-01T20:03:04
336,574,21,2022-11-04T02:45:53,2022-11-04T11:02:24
337,837,36,2022-11-12T21:28:16,2022-11-13T12:16:17
338,474,83,2022-11-11T03:53:53,2022-11-12T00:57:18
339,782,42,2022-11-25T19:17:19,2022-11-26T16:13:40
340,1446,31,2022-11-05T06:07:19,2022-11-05T10:35:14
341,538,29,2022-11-23T02:36:46,2022-11-23T15:28:31
342,322,1,2022-11-23T02:14:49,2022-11-23T15:35:06
343,322,24,2022-11-01T04:18:21,2022-11-01T05:25:37
344,3,12,2022-11-10T01:50:57,2022-11-10T22:49:34
345,992,42,2022-11-16T17:10:30,2022-11-16T19:35:33
346,1035,18,2022-11-13T12:07:40,2022-11-14T04:57:17
347,878,54,2022-11-21T00:20:25,2022-11-21T15:02:17
348,480,15,2022-11-14T15:08:18,2022-11-14T18:29:26
349,342,86,2022-11-02T10:42:28,2022-11-03T01:21:54
350,402,25,2022-11-14T21:30:32,2022-11-15T09:46:48
351,1160,93,2022-11-26T03:55:33,2022-11-26T11:31:33
352,326,26,2022-11-19T06:44:11,2022-11-20T00:11:10
353,1269,36,2022-11-24T17:04:55,2022-11-24T17:54:49
354,1074,25,2022-11-26T15:54:36,2022-11-27T03:48:49
355,1119,101,2022-11-07T19:00:20,2022-11-08T09:52:20
356,702,44,2022-11-05T12:11:16,2022-11-05T16:10:59
357,1475,53,2022-11-25T21:24:44,2022-11-26T06:53:05
358,1254,9,2022-11-17T23:36:32,2022-11-18T01:20:37
359,458,86,2022-11-24T21:14:51,2022-11-25T06:26:07
360,704,65,2022-11-02T19:48:23,2022-11-02T21:06:46
361,643,56,2022-11-02T23:26:39,2022-11-03T07:29:12
362,878,67,2022-11-21T20:55:50,2022-11-22T00:58:14
363,1024,28,2022-11-17T13:56:12,2022-11-17T19:37:48
364,1038,41,2022-11-02T05:35:22,2022-11-02T06:30:59
365,170,42,2022-10-28T19:07:56,2022-10-28T19:34:54
366,290,96,2022-11-25T10:50:34,2022-11-25T22:35:37
367,1413,51,2022-11-05T04:09:54,2022-11-05T05:32:39
368,1275,88,2022-11-26T21:17:51,2022-11-27T16:50:20
369,1473,69,2022-11-20T08:07:13,2022-11-20T22:04:54
370,381,28,2022-11-11T18:04:22,2022-11-12T11:33:34
371,355,41,2022-11-20T22:02:07,2022-11-21T03:03:51
372,747,84,2022-11-20T21:54:53,2022-11-21T17:52:09
373,154,12,2022-11-07T20:50:59,2022-11-08T20:44:20
374,1221,33,2022-11-04T13:58:04,2022-11-04T23:41:44
375,590,60,2022-11-13T23:35:58,2022-11-14T11:17:45
376,597,96,2022-11-20T12:42:43,2022-11-20T14:45:48
377,1323,14,2022-11-22T21:00:26,2022-11-23T04:59:57
378,1019,83,2022-11-25T06:18:48,2022-11-25T11:28:47
379,1386,100,2022-10-30T04:14:59,2022-10-31T03:01:49
380,1254,45,2022-11-12T22:07:38,2022-11-13T05:41:47
381,1389,5,2022-11-11T01:02:20,2022-11-11T03:55:49
382,1176,35,2022-11-10T07:20:02,2022-11-11T00:52:02
383,1312,1,2022-10-29T07:16:52,2022-10-29T11:42:30
384,156,6,2022-11-17T12:41:16,2022-11-17T16:49:58
385,1110,13,2022-11-13T18:26:25,2022-11-14T10:18:59
386,1502,84,2022-11-26T07:05:17,2022-11-26T08:19:11
387,1258,88,2022-11-07T06:20:37,2022-11-08T03:48:18
388,642,75,2022-11-06T16:11:15,2022-11-07T02:42:10
389,847,49,2022-11-26T22:33:01,2022-11-27T21:51:14
390,57,39,2022-11-19T13:29:01,2022-11-20T02:21:28
391,253,12,2022-11-22T06:30:11,2022-11-22T07:45:48
392,1062,91,2022-11-09T17:20:27,2022-11-09T21:13:18
393,599,58,2022-11-25T23:33:41,2022-11-26T04:57:28
394,1114,57,2022-11-16T10:07:30,2022-11-16T11:28:36
395,1418,93,2022-11-05T18:37:51,2022-11-06T02:33:58
396,236,43,2022-11-23T04:07:52,2022-11-23T20:29:22
397,304,34,2022-11-06T09:27:55,2022-11-06T20:02:22
398,892,58,2022-10-30T01:13:08,2022-10-30T08:32:40
399,803,65,2022-11-08T23:50:21,2022-11-09T21:45:04
400,352,93,2022-11-20T09:04:27,2022-11-21T05:09:10
401,889,42,2022-11-24T06:39:28,2022-11-24T17:11:09
402,1443,46,2022-11-10T06:44:51,2022-11-10T20:49:05
403,734,27,2022-11-17T02:40:52,2022-11-17T10:07:36
404,892,87,2022-11-03T19:36:44,2022-11-04T03:30:43
405,676,2,2022-11-02T13:54:56,2022-11-02T14:01:15
406,200,9,2022-11-26T21:08:20,2022-11-27T00:29:38
407,921,36,2022-11-21T13:50:08,2022-11-21T20:40:04
408,932,5,2022-11-20T01:51:32,2022-11-20T04:42:18
409,157,57,2022-11-25T01:28:04,2022-11-25T15:06:16
410,1204,58,2022-10-30T02:38:40,2022-10-30T15:13:36
411,1299,26,2022-11-12T00:59:36,2022-11-12T14:01:10
412,471,1,2022-11-23T23:55:01,2022-11-24T22:11:49
413,1284,75,2022-11-20T04:52:38,2022-11-20T20:34:06
414,186,13,2022-11-01T14:38:45,2022-11-02T09:19:38
415,275,43,2022-10-30T20:40:00,2022-10-31T06:45:36
416,1331,32,2022-11-21T14:58:49,2022-11-22T01:27:05
417,528,90,2022-11-15T13:27:22,2022-11-16T08:46:10
418,793,22,2022-11-17T22:06:41,2022-11-18T00:22:24
419,1277,88,2022-11-21T05:38:15,2022-11-21T15:01:28
420,1182,96,2022-11-02T22:26:47,2022-11-03T10:03:43
421,850,27,2022-11-16T06:55:38,2022-11-16T23:34:38
422,1458,31,2022-11-08T04:25:06,2022-11-08T16:44:13
423,1354,49,2022-11-19T08:45:51,2022-11-20T05:18:31
424,1219,8,2022-11-01T11:15:16,2022-11-02T03:46:04
425,79,25,2022-11-12T20:03:27,2022-11-13T11:30:05
426,1323,17,2022-11-23T19:45:33,2022-11-24T13:03:45
427,250,61,2022-11-27T05:52:01,2022-11-27T14:13:54
428,602,55,2022-11-06T07:40:00,2022-11-06T11:40:35
429,203,84,2022-11-27T00:58:26,2022-11-27T21:11:59
430,1277,60,2022-11-27T06:21:19,2022-11-27T14:59:44
